,label,area,mean_intensity,weighted_centroid-0,weighted_centroid-1,target_intensity,target_log_intensity,SBR,size_fraction,expressed,normalized_target_log_intensity
53,54,33.0,481.0,113.42499842499842,847.5453285453285,2099.4545454545455,7.64943284971343,2.5410933764901755,1.0,True,0.2520137967221445
54,55,203.0,542.0591133004926,124.96240389683564,874.4061869535979,868.2610837438424,6.7664924571561125,1.296425585422792,0.541871921182266,True,0.1074993503725119
55,56,97.0,480.03092783505156,126.86304576595151,730.5052939028843,1065.9896907216496,6.971658933686202,1.6684073083656545,0.979381443298969,True,0.14107978231919738
63,64,79.0,481.1392405063291,148.48647724283083,172.86871875822152,992.5443037974684,6.900271650151943,1.6158985524690974,1.0,True,0.12939553517939073
74,75,303.0,984.1749174917492,175.26528059556347,636.2376251236566,5102.240924092409,8.53743511908674,2.0053407587802257,0.768976897689769,True,0.397356741044822
75,76,46.0,475.54347826086956,176.90134857142857,893.0750628571428,763.9782608695652,6.63853933440248,1.2769475998753357,0.6086956521739131,True,0.08655674218591525
78,79,145.0,456.2758620689655,182.92817412333736,1616.7748337363967,620.3586206896551,6.430297731285684,1.07834234403522,0.11724137931034483,True,0.05247299175943332
79,80,140.0,483.6142857142857,186.01474020027769,1542.3532626355125,14827.671428571428,9.60425040517506,2.765047123078209,1.0,True,0.5719667393255043
82,83,24.0,482.125,194.90752743928786,988.9388989715668,1432.4583333333333,7.2671473614875675,2.1977891708237154,1.0,True,0.1894435755111208
88,89,189.0,523.4603174603175,209.94266884994036,470.89723451998304,630.3968253968254,6.4463495026757,1.0882966880101999,0.08994708994708994,True,0.05510025049050138
89,90,30.0,508.73333333333335,208.64336259992137,619.3533612894771,1843.1333333333334,7.5192223008659775,1.8151428918336245,1.0,True,0.23070170642228893
90,91,87.0,495.0,212.45965401137815,269.54526877975155,1074.942528735632,6.980022477491366,1.7167532385497446,1.0,True,0.14244867756140467
97,98,117.0,477.8034188034188,230.39160689050678,975.7176895694328,1122.837606837607,7.023614337725903,1.6970118537947765,0.9829059829059829,True,0.14958353468227825
98,99,151.0,496.86092715231786,231.86949857382774,501.2535920880761,1710.8807947019868,7.444763601507202,1.9896753174844874,0.9205298013245033,True,0.2185147481582308
109,110,190.0,580.2894736842105,258.25563466509453,280.39273502335493,599.8578947368421,6.396692785059362,1.1101575368072105,0.09473684210526316,True,0.04697273348668607
112,113,161.0,504.69565217391306,266.1865708378458,70.97857388992813,1196.8944099378882,7.087485489417995,1.6805429074790594,0.937888198757764,True,0.16003758594361184
